timestamp,symbol,address,source,market_cap_usd,price_usd,liquidity_usd,volume_24h_usd,price_change_24h_pct,created_age_hours,score,risk_score,risk_label,mint_authority_renounced,freeze_authority_renounced,lp_locked_pct,holder_count,top10_holder_pct
2026-08-03T12:38:53.907325+00:00,LetsPlay,HR99L4BnTEKpr4ii9qm58NAtEmP1Y9cGgX2XUUebpump,dexscreener-boosted,120872,0.0001234,25670.93,1049884.02,283,5.665337693820529,36.071,1,,True,True,100,3225,26.7
2026-08-03T12:38:53.907325+00:00,DOGE,E5xt4BXoo9mskPobYnrJDA3zgiA9LzywEDc4uvueAsFL,dexscreener-boosted,343547,0.0003620,46046.08,1447260.58,1103,11.5910619599745,23.841,1,,True,True,100,3061,22.7
2026-08-03T12:38:53.907325+00:00,CHUBBYDOG,8UhyqKadTW6F7K1VkdT2Rg7nt1mdSoQRF7fJpA9Vpump,dexscreener-boosted,154138,0.0001563,28393.95,660814.04,343,3.673735352172852,21.492,72,danger,True,True,100,2253,13.0
2026-08-03T12:38:53.907325+00:00,KRIS,HCyP86G8Ytp9mG8MSbrB8UuCvC2bkbaHTiuHcE5Bpump,dexscreener-boosted,1082774,0.001104,81767,1687340.95,3191,1.4821533851453994,19.999,1,,True,True,100,1819,18.2
2026-08-03T12:38:53.907325+00:00,DECK,DeNGDha55v7iVaZXMzjA9wZUmFrhhubcpBP5VM4qpump,dexscreener-boosted,286808,0.0002939,40409.68,1084361.28,870,15.442578382432727,18.201,1,,True,True,100,3474,12.5
2026-08-03T12:38:53.907325+00:00,dͨoͣgͭ,HsUJxURpAtdYpvppxbwZTBinRnqY7Fpv4sFHD8F9pump,dexscreener-boosted,76400,0.00007940,19595.05,370747.82,71.94,14.565901889648439,13.179,72,danger,True,True,100,1775,36.8
2026-08-03T12:38:53.907325+00:00,AURACAT,6wfbCEwBDE8D75QaQCSgawiNfKwJDCyAYA32F768pump,dexscreener-boosted,149582,0.0001525,27796.15,506769.29,404,17.835884138997397,11.457,1,,True,True,99.9422599381411,3143,27.8
2026-08-03T12:38:53.907325+00:00,BULLE,E4XcM3x3m1xWT6shrEApT57SKMm4UjNZjbWGdieFpump,dexscreener-boosted,145418,0.0001454,26747.99,295617.98,319,0.2954200025092231,10.984,1,,True,True,100,645,18.6
2026-08-03T12:38:53.907325+00:00,EVILSHIB,DCs71htej9jK8aZCQb3sRi4HNEdr2FqWfPDyr5jRpump,dexscreener-boosted,99557,0.0001017,23011.33,327099.93,-30.56,43.91927198771158,2.843,1,,True,True,100,4616,27.1
2026-08-03T12:38:53.907325+00:00,USUR,uQbng9d6SptZtEus8L6opBZdpUKW8G61cXpmBTWpump,pump.fun+dexscreener,57519739,0.05752,541980.25,739913.32,189431,8.198956657918295,1.132,50,warn,True,True,100,2108,2.0
2026-08-03T12:38:53.907325+00:00,USUR,t2QAwHB8XRB53dWPoS31rRy4wsXPpTPXEY6cBk8pump,pump.fun+dexscreener,9247828,0.009249,216513.35,309828.38,30231,12.183787150878906,1.068,32,warn,True,True,100,970,8.4
